#SampleID	Type	Class1	Class2	Class3	ClassOther
'000002774.1130809'	multipleyear	1	0	0	0
'000002853.1130934'	multipleyear	1	0	0	0
'000003200.1130958'	multipleyear	1	0	0	0
'000001398.1130927'	multipleyear	1	0	0	0
'000002545.1130836'	multipleyear	1	0	0	0
'000001121.1130675'	multipleyear	0	0	0	0
'000001152.1130617'	multipleyear	1	0	0	0
'000001731.1130910'	multipleyear	0	0	0	1
'000002884.1130929'	multipleyear	1	0	0	0
'000003280.1130751'	multipleyear	1	0	0	0
'000001336.1130759'	multipleyear	1	0	0	0
'000001504.1130729'	multipleyear	1	0	0	0
'000002396.1130745'	multipleyear	1	0	0	0
'000002690.1130753'	multipleyear	1	0	0	0
'000003281.1130696'	multipleyear	1	0	0	0
'000001595.1130864'	multipleyear	1	0	0	0
'000003201.1130831'	multipleyear	1	0	0	0
'000001969.1130976'	multipleyear	0	0	0	1
'000001658.1130750'	multipleyear	1	0	0	0
'000002446.1130635'	multipleyear	1	0	0	0
'000002109.1130922'	multipleyear	0	0	0	1
'000001854.1130838'	multipleyear	0	0	0	1
'000002951.1130967'	multipleyear	1	0	0	0
'000001538.1130678'	multipleyear	1	0	0	0
'000002689.1130867'	multipleyear	1	0	0	0
'000002444.1130645'	multipleyear	1	0	0	0
'000001046.1130619'	multipleyear	0	0	0	0
'000002883.1130986'	multipleyear	1	0	0	0
'000001216.1130821'	multipleyear	1	0	0	0
'000001299.1130947'	multipleyear	1	0	0	0
'000001180.1130613'	multipleyear	1	0	0	0
'000003365.1130812'	multipleyear	1	0	0	0
'000001427.1130754'	multipleyear	1	0	0	0
'000002597.1130873'	multipleyear	1	0	0	0
'000001317.1130798'	multipleyear	1	0	0	0
'000001397.1130660'	multipleyear	1	0	0	0
'000003430.1130808'	multipleyear	1	0	0	0
'000004234.1130852'	multipleyear	1	0	0	0
'000002472.1130923'	multipleyear	1	0	0	0
'000001884.1130955'	multipleyear	0	0	0	1
'000002894.1130914'	multipleyear	1	0	0	0
'000001100.1130688'	multipleyear	0	0	0	0
'000001060.1130982'	multipleyear	0	0	0	0
'000001661.1130631'	multipleyear	1	0	0	0
'000002546.1130632'	multipleyear	1	0	0	0
'000004189.1130689'	multipleyear	1	0	0	0
'000001662.1130880'	multipleyear	1	0	0	0
'000001171.1130956'	multipleyear	1	0	0	0
'000001422.1130959'	multipleyear	1	0	0	0
'000001530.1130743'	multipleyear	1	0	0	0
'000001275.1130640'	multipleyear	1	0	0	0
'000001755.1130707'	multipleyear	0	0	0	1
'000002391.1130785'	multipleyear	1	0	0	0
'000001797.1130825'	multipleyear	0	0	0	1
'000001404.1130590'	multipleyear	1	0	0	0
'000001516.1130588'	multipleyear	1	0	0	0
'000001350.1130866'	multipleyear	1	0	0	0
'000001375.1130665'	multipleyear	1	0	0	0
'000004040.1130790'	multipleyear	1	0	0	0
'000003640.1130662'	multipleyear	1	0	0	0
'000001763.1130670'	multipleyear	0	0	0	1
'000001583.1130954'	multipleyear	1	0	0	0
'000003505.1130919'	multipleyear	1	0	0	0
'000002419.1130863'	multipleyear	1	0	0	0
'000002315.1130580'	multipleyear	1	0	0	0
'000001802.1130782'	multipleyear	0	0	0	1
'000001979.1130599'	multipleyear	0	0	0	1
'000003092.1130995'	multipleyear	1	0	0	0
'000001837.1130704'	multipleyear	0	0	0	1
'000004190.1130806'	multipleyear	1	0	0	0
'000002781.1130683'	multipleyear	1	0	0	0
'000003969.1130581'	multipleyear	1	0	0	0
'000001521.1130628'	multipleyear	1	0	0	0
'000002471.1130791'	multipleyear	1	0	0	0
