"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
1709,0,5,4495093.3,"EM157-T3",7936324,35346,65193,1,0
1710,0,5,4495094.3,"EM158-T0",4130431,18416,32915,1,0
1711,0,5,4495095.3,"EM159-T0",4318191,19216,29393,1,0
1712,0,5,4495096.3,"EM161-T3",6141326,27311,44745,1,0
1713,0,5,4495097.3,"EM166-T0",3375702,15002,28246,1,0
1641,0,5,4491488.3,"EM166_LS_DG3_4B",55373657,18746,39272,1,0
1714,0,5,4495098.3,"EM168-T3",3792163,16884,26563,1,0
1715,0,5,4495099.3,"EM169-T0",4213432,18827,34312,1,0
1716,0,5,4495100.3,"EM171-T0",3895601,17592,25358,1,0
1717,0,5,4495101.3,"EM172-T0",5857341,26058,40364,1,0
1640,0,5,4491487.3,"EM172_C_DG2_1A",124019936,119088,130568,1,0
1645,0,5,4491563.3,"EM173_L_NA_NA",69938460,68091,73273,1,0
1718,0,5,4495102.3,"EM175-T0",6017650,26776,48762,1,0
1639,0,5,4491485.3,"EM175_C_DG2_2B",57742280,14998,41067,1,0
1719,0,5,4495103.3,"EM176-T0",6433498,28614,50595,1,0
1638,0,5,4491484.3,"EM176_C_DG2_1B",66321507,14869,35955,1,0
1720,0,5,4495104.3,"EM177-T0",6046607,26914,42389,1,0
1637,0,5,4491482.3,"EM177_C_DG2_1B",134339956,102401,80779,1,0
1721,0,5,4495105.3,"EM178-T0",4071977,18120,22380,1,0
1722,0,5,4495106.3,"EM179-T0",4302761,19125,37047,1,0
1723,0,5,4495107.3,"EM181-T0",6081678,27064,43666,1,0
1724,0,5,4495108.3,"EM182-T0",4252949,19025,30380,1,0
1725,0,5,4495109.3,"EM183-T3",6009887,26729,38460,1,0
1726,0,5,4495110.3,"EM185-T0",6688936,29747,35898,1,0
1727,0,5,4495111.3,"EM187-T0",5508802,24721,45525,1,0
1728,0,5,4495112.3,"EM188-T0",6936879,30895,50990,1,0
1729,0,5,4495113.3,"EM189-T0",4189033,18781,30052,1,0
1730,0,5,4495114.3,"EM190-T0",5065761,22708,28608,1,0
1731,0,5,4495115.3,"EM191-T0",5170907,23006,39728,1,0
1636,0,5,4491479.3,"EM191_L_DG4_3A",50011259,8119,29709,1,0
1732,0,5,4495116.3,"EM192-T0",5592205,24883,38408,1,0
1733,0,5,4495117.3,"EM193-T0",7012114,31208,46169,1,0
1734,0,5,4495118.3,"EM195-T0",4585511,20571,27172,1,0
1735,0,5,4495119.3,"EM197-T0",3127002,14108,22227,1,0
1736,0,5,4495120.3,"EM198-T0",4815704,21621,40891,1,0
1737,0,5,4495121.3,"EM199-T0",3239429,14621,19865,1,0
1738,0,5,4495122.3,"EM203-T0",5768948,25657,34429,1,0
1635,0,5,4491477.3,"EM203_C_DG1_3A",116241666,82293,87892,1,0
1739,0,5,4495123.3,"EM204-T0",5824131,25891,35065,1,0
1740,0,5,4495124.3,"EM205-T0",7261394,32299,51146,1,0
1634,0,5,4491423.3,"EM205_C_DG1_2A",155345174,140766,167319,1,0
