"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
2329,0,14,4542248.3,"ITS3.ID209",3898076,27618,21023,1,0
2330,0,14,4542249.3,"ITS3.ID214",3992886,28102,24913,1,0
2331,0,14,4542250.3,"ITS3.ID217",2781904,19779,16812,1,0
2332,0,14,4542251.3,"ITS3.ID220",24487,172,135,1,0
2333,0,14,4542252.3,"ITS3.ID221",427178,2981,2224,1,0
2334,0,14,4542253.3,"ITS3.ID223",3352370,23503,17222,1,0
2335,0,14,4542254.3,"ITS3.ID231",4311091,29649,7419,1,0
2336,0,14,4542255.3,"ITS3.ID246",657140,4579,3895,1,0
2337,0,14,4542256.3,"ITS3.ID256",1371416,9540,4620,1,0
2338,0,14,4542257.3,"ITS3.ID43",2000547,13900,8203,1,0
2339,0,14,4542258.3,"ITS3.ID47",1301316,9306,7457,1,0
2340,0,14,4542259.3,"ITS3.ID55",9944330,68833,49674,1,0
2341,0,14,4542260.3,"ITS3.ID56",5440506,38034,33316,1,0
2342,0,14,4542261.3,"ITS3.ID8",3822159,27864,18965,1,0
2343,0,14,4542262.3,"ITS3.ID83",906836,6298,5539,1,0
2344,0,14,4542263.3,"ITS3.ID85",208011,1423,790,1,0
2345,0,14,4542264.3,"ITS3.ID86",30826,212,176,1,0
2346,0,14,4542265.3,"ITS3.ID87",2391545,16419,10477,1,0
2347,0,14,4542266.3,"ITS3.ID89",1709155,11678,7477,1,0
2348,0,14,4542267.3,"ITS3.ID90",5718606,38605,35409,1,0
2349,0,14,4542268.3,"ITS3.ID92",561385,3818,3041,1,0
2350,0,14,4542269.3,"ITS3.ID95",3243769,22090,16731,1,0
2351,0,14,4542270.3,"ITS3.ID97",1214971,8475,6715,1,0
2352,0,14,4542271.3,"ITS3.ID98",1792760,12198,1651,1,0
2353,0,14,4542272.3,"ITS3.ID99",14590341,101269,71921,1,0
